time, x_accel, y_accel, z_accel, speed, steer, roll, pitch, yaw, x_gps, y_gps, x_real, y_real, z_real
1.211000, 0.666064, 0.252773, -0.014750, 1.616822, 0.660876, -0.008516, 0.001321, -1.105214, -182.921829, 79.227539, -182.921829, 79.227539, 1.028098
1.244000, 0.640514, 0.256604, -0.012857, 1.618925, 0.642469, -0.007863, 0.001054, -1.091057, -182.880936, 79.188301, -182.880936, 79.188301, 1.028063
1.277000, 0.617903, 0.255359, -0.011041, 1.621032, 0.624158, -0.007269, 0.000826, -1.077362, -182.839951, 79.149261, -182.839951, 79.149261, 1.028032
1.310000, 0.597574, 0.250580, -0.009280, 1.623253, 0.605882, -0.006730, 0.000634, -1.064117, -182.798935, 79.110397, -182.798935, 79.110397, 1.028007
1.343000, 0.579050, 0.243420, -0.007687, 1.625658, 0.587600, -0.006239, 0.000476, -1.051313, -182.757874, 79.071701, -182.757874, 79.071701, 1.027984
1.376000, 0.560392, 0.237373, -0.006253, 1.628187, 0.569265, -0.005789, 0.000347, -1.038940, -182.716736, 79.033142, -182.716736, 79.033142, 1.027966
1.409000, 0.541795, 0.231592, -0.005006, 1.630809, 0.550930, -0.005374, 0.000244, -1.026995, -182.675568, 78.994713, -182.675568, 78.994713, 1.027950
1.442000, 0.526625, 0.220486, -0.003893, 1.633710, 0.532391, -0.004988, 0.000164, -1.015472, -182.634354, 78.956390, -182.634354, 78.956390, 1.027938
1.475000, 0.511823, 0.209312, -0.002882, 1.636877, 0.513665, -0.004626, 0.000105, -1.004368, -182.593094, 78.918129, -182.593094, 78.918129, 1.027928
1.508000, 0.496868, 0.198528, -0.002031, 1.640275, 0.494710, -0.004282, 0.000064, -0.993683, -182.551834, 78.879929, -182.551834, 78.879929, 1.027921
1.541000, 0.481721, 0.188182, -0.001292, 1.643866, 0.475494, -0.003952, 0.000037, -0.983415, -182.510544, 78.841743, -182.510544, 78.841743, 1.027915
1.574000, 0.464493, 0.180652, -0.000709, 1.647514, 0.455966, -0.003631, 0.000023, -0.973566, -182.469254, 78.803566, -182.469254, 78.803566, 1.027912
1.607000, 0.446342, 0.173726, -0.000269, 1.651165, 0.436106, -0.003315, 0.000017, -0.964143, -182.428009, 78.765366, -182.428009, 78.765366, 1.027909
