timestamp,ext,canid,dlc,rtr,data
1688572207519,false,4,8,false,"[0,16,0,0,0,0,0,0]"

1688572207528,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688572207530,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688572207532,false,4,8,false,"[0,16,0,0,0,0,0,0]"

1688572207628,false,259,8,false,"[0,0,0,0,0,0,0,1]"

1688572207629,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688572207630,false,4,8,false,"[0,16,0,0,0,0,0,0]"

1688572207631,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688572207631,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688572207632,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688572207827,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688572207828,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688572207829,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688572207829,false,4,8,false,"[0,16,0,0,0,0,0,0]"

1688572207830,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688572207831,false,259,8,false,"[0,0,0,0,0,0,0,1]"

1688572207985,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688572207986,false,4,8,false,"[0,16,0,0,0,0,0,0]"

1688572207986,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688572207987,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688572207988,false,4,8,false,"[0,16,0,0,0,0,0,0]"

1688572208007,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688572208008,false,259,8,false,"[0,0,0,0,0,0,0,1]"

1688572208110,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688572208111,false,4,8,false,"[0,16,0,0,0,0,0,0]"

1688572208111,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688572208112,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688572208112,false,4,8,false,"[0,16,0,0,0,0,0,0]"

1688572208112,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688572208201,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688572208201,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688572208202,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688572208202,false,4,8,false,"[0,16,0,0,0,0,0,0]"

1688572208202,false,259,8,false,"[0,0,0,0,0,0,0,1]"

1688572208307,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688572208307,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688572208311,false,4,8,false,"[0,16,0,0,0,0,0,0]"

1688572208314,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688572208315,false,4,8,false,"[0,16,0,0,0,0,0,0]"

1688572208389,false,259,8,false,"[0,0,0,0,0,0,0,1]"

1688572208447,false,4,8,false,"[0,16,0,0,0,0,0,0]"

