KON,-12.13548603,-77.02197697

KON,-12.1354871,-77.02197652

KON,-12.13548658,-77.02197672

KON,-12.13548542,-77.02197737

KON,-12.1354838,-77.0219789

KON,-12.13548203,-77.02198055

KON,-12.135481,-77.0219813

KON,-12.13547892,-77.02198453

KON,-12.13547828,-77.02198622

KON,-12.13547782,-77.02198418

KON,-12.1354768,-77.02198

KON,-12.13547697,-77.0219744

KON,-12.13547778,-77.02196877

KON,-12.13547897,-77.02196385

KON,-12.13547942,-77.02195818

KON,-12.13547992,-77.02195132

KON,-12.13547942,-77.02194223

KON,-12.13547785,-77.0219322

KON,-12.13547767,-77.02192388

KON,-12.13547868,-77.02191655

KON,-12.13548015,-77.02190862

KON,-12.13548172,-77.0219008

KON,-12.13548412,-77.02189483

KON,-12.13548538,-77.02188765

KON,-12.13548502,-77.02187902

KON,-12.13548468,-77.021872

KON,-12.13548438,-77.02186558

KON,-12.13548467,-77.02185872

KON,-12.13548385,-77.02185175

KON,-12.13548358,-77.02184582

KON,-12.13548198,-77.02184027

KON,-12.13547972,-77.02183437

KON,-12.13547723,-77.02182818

KON,-12.13547592,-77.02182092

KON,-12.13547497,-77.02181227

KON,-12.13547503,-77.0218047

KON,-12.1354745,-77.02179792

KON,-12.13547322,-77.0217896

KON,-12.13547135,-77.02178053

KON,-12.135469,-77.0217712

KON,-12.13546642,-77.02176305

KON,-12.13546452,-77.02175507

KON,-12.13546275,-77.02174607

KON,-12.13546163,-77.02173785

KON,-12.13545988,-77.02172983

KON,-12.13545713,-77.02172058

KON,-12.13545523,-77.02171165

KON,-12.13545422,-77.02170273

KON,-12.13545335,-77.021693

KON,-12.13545155,-77.02168443

KON,-12.13544822,-77.02167705

KON,-12.13544505,-77.02166985

KON,-12.13544213,-77.02166373

KON,-12.13543925,-77.02165745

KON,-12.13543805,-77.02165207

KON,-12.13543737,-77.02164705

KON,-12.13543642,-77.02163918

KON,-12.13543668,-77.02163128

KON,-12.13543648,-77.02162428

KON,-12.13543583,-77.02161705

KON,-12.13543455,-77.02160767

KON,-12.13543197,-77.02159855

KON,-12.13542908,-77.0215902

KON,-12.13542437,-77.02158173

KON,-12.13542043,-77.02157445

KON,-12.1354174,-77.02156842

KON,-12.13541523,-77.02156387

KON,-12.13541472,-77.0215589

KON,-12.13541382,-77.02155255

KON,-12.13541178,-77.02154442

KON,-12.135409,-77.02153485

KON,-12.13540427,-77.0215254

KON,-12.13540067,-77.02151692

KON,-12.1353993,-77.02150817

KON,-12.13539905,-77.02150035

KON,-12.13540085,-77.02149268

KON,-12.13540158,-77.02148538

KON,-12.13540153,-77.02147702

KON,-12.13540098,-77.02146645

KON,-12.13540067,-77.02145573

KON,-12.13540155,-77.021445

KON,-12.13540225,-77.02143737

KON,-12.1354012,-77.02143215

KON,-12.13539758,-77.02142683

KON,-12.13539388,-77.02141988

KON,-12.13539085,-77.02141103

KON,-12.13538962,-77.021401

KON,-12.13538995,-77.02139232

KON,-12.13539035,-77.0213829

KON,-12.13539233,-77.02137362

KON,-12.135393,-77.02136408

KON,-12.13539198,-77.02135363

KON,-12.13539008,-77.02134423

KON,-12.13538748,-77.02133473

KON,-12.13538397,-77.02132522

KON,-12.13538143,-77.02131618

KON,-12.13537972,-77.02130722

KON,-12.13537812,-77.02129815

KON,-12.13537725,-77.02128893

KON,-12.1353765,-77.02127945

KON,-12.13537572,-77.02127017

KON,-12.13537673,-77.02126217

KON,-12.13537707,-77.02125265

KON,-12.13537797,-77.02124365

KON,-12.13537688,-77.02123515

KON,-12.13537653,-77.0212281

KON,-12.13537683,-77.02122053

KON,-12.13537707,-77.02121175

KON,-12.13537672,-77.0212031

