18.262,0.1064,6.28,122.70716009102762,34.47772719152272,-12.135763,-77.02081895
18.462,0.0532,6.28,,,-12.135763,-77.02081895
18.662,0.0532,0,,,-12.135763,-77.02081895
18.862,0.0532,6.28,,,-12.135763,-77.02081895
18.888,0,0,,,-12.135763,-77.02081895
19.062,0.0532,6.28,,,-12.135763,-77.02081895
19.263,0,6.28,,,-12.135763,-77.02081895
19.466,0,0,,,-12.135763,-77.02081895
19.664,0,0.03,,,-12.135763,-77.02081895
19.865,0.5054,0.07,,,-12.135763,-77.02081895
20.065,1.0373999999999999,0.11,122.70689757773653,34.47886614874005,-12.13576305,-77.02081895
20.266,0.5586,0.14,,,-12.13576305,-77.02081895
20.467,0.2128,0.18,,,-12.13576305,-77.02081895
20.667,0.7447999999999999,0.21,,,-12.13576305,-77.02081895
20.868,1.3832,0.23,,,-12.13576305,-77.02081895
20.911,0,0,122.7100755572319,34.47959862742573,-12.13576305,-77.02081892
21.068,0.9044,0.26,,,-12.13576305,-77.02081892
21.269,0.4522,0.27,,,-12.13576305,-77.02081892
21.469,0.0532,0.26,,,-12.13576305,-77.02081892
21.669,0.0532,0.21,,,-12.13576305,-77.02081892
21.87,0,0.13,,,-12.13576305,-77.02081892
21.906,0,0,122.71976700075902,34.481112686917186,-12.13576302,-77.02081883
22.071,0.0532,0.05,,,-12.13576302,-77.02081883
22.275,0.0532,6.27,,,-12.13576302,-77.02081883
22.47,0.0532,6.22,,,-12.13576302,-77.02081883
22.671,0.0532,6.17,,,-12.13576302,-77.02081883
22.871,0.0532,6.15,,,-12.13576302,-77.02081883
22.904,0,0,122.72320749075152,34.48070620652288,-12.13576297,-77.0208188
23.072,0,6.14,,,-12.13576297,-77.0208188
23.272,0,6.14,,,-12.13576297,-77.0208188
23.474,0.0532,6.14,,,-12.13576297,-77.0208188
23.673,0.0532,6.14,,,-12.13576297,-77.0208188
23.874,0.0532,6.14,,,-12.13576297,-77.0208188
23.896,0,0,122.72543115005828,34.48073894251138,-12.13576295,-77.02081878
24.074,0,6.14,,,-12.13576295,-77.02081878
24.276,0,6.14,,,-12.13576295,-77.02081878
24.476,0,6.14,,,-12.13576295,-77.02081878
24.677,0,6.14,,,-12.13576295,-77.02081878
24.885,0,6.14,,,-12.13576295,-77.02081878
24.892,0,0,122.72659547952935,34.48052751738578,-12.13576293,-77.02081877
25.078,0,6.14,,,-12.13576293,-77.02081877
25.278,0,6.14,,,-12.13576293,-77.02081877
25.479,0,6.14,,,-12.13576293,-77.02081877
25.679,0,6.14,,,-12.13576293,-77.02081877
25.882,0.0532,6.14,,,-12.13576293,-77.02081877
25.901,0,0,122.72876663482748,34.48078804463148,-12.13576292,-77.02081875
26.08,0.0532,6.14,,,-12.13576292,-77.02081875
26.281,0.0532,6.14,,,-12.13576292,-77.02081875
26.481,0.0532,6.14,,,-12.13576292,-77.02081875
26.681,0,6.14,,,-12.13576292,-77.02081875
27.082,0,6.14,122.72887164005078,34.480332462117076,-12.1357629,-77.02081875
27.283,0,6.14,,,-12.1357629,-77.02081875
27.483,0,6.14,,,-12.1357629,-77.02081875
27.684,0,6.14,,,-12.1357629,-77.02081875
27.885,0,6.14,,,-12.1357629,-77.02081875
27.887,0,0,122.73109529772773,34.480365198105574,-12.13576288,-77.02081873
28.085,0,6.14,,,-12.13576288,-77.02081873
28.287,0.1064,6.14,,,-12.13576288,-77.02081873
28.486,0,6.14,,,-12.13576288,-77.02081873
28.687,0,6.14,,,-12.13576288,-77.02081873
28.894,0,6.14,,,-12.13576288,-77.02081873
29.088,0,6.14,,,-12.13576288,-77.02081873
29.288,0,6.14,,,-12.13576288,-77.02081873
29.488,0,6.14,,,-12.13576288,-77.02081873
29.692,0,6.14,,,-12.13576288,-77.02081873
29.894,0,6.14,122.73220712738112,34.4803815651685,-12.13576287,-77.02081872
30.09,0,6.14,,,-12.13576287,-77.02081872
30.29,0,6.14,,,-12.13576287,-77.02081872
30.491,0,6.14,,,-12.13576287,-77.02081872
30.693,0,6.14,,,-12.13576287,-77.02081872
30.893,0,6.14,,,-12.13576287,-77.02081872
31.092,0,6.14,,,-12.13576287,-77.02081872
31.293,0,6.14,,,-12.13576287,-77.02081872
31.493,0,6.14,,,-12.13576287,-77.02081872
31.693,0,6.14,,,-12.13576287,-77.02081872
31.894,0,6.14,122.73432577843778,34.4808698836714,-12.13576287,-77.0208187
32.094,0,6.14,,,-12.13576287,-77.0208187
32.295,0,6.14,,,-12.13576287,-77.0208187
32.496,0,6.14,,,-12.13576287,-77.0208187
32.696,0,6.14,,,-12.13576287,-77.0208187
32.897,0,6.14,122.73114780057222,34.48013740591705,-12.13576287,-77.02081873
33.098,0,6.14,,,-12.13576287,-77.02081873
33.298,0,6.14,,,-12.13576287,-77.02081873
33.499,0,6.14,,,-12.13576287,-77.02081873
33.699,0,6.14,,,-12.13576287,-77.02081873
33.903,0,6.14,122.72685799258761,34.47938856109977,-12.13576288,-77.02081877
34.1,0,6.14,,,-12.13576288,-77.02081877
34.302,0,6.14,,,-12.13576288,-77.02081877
34.501,0,6.14,,,-12.13576288,-77.02081877
34.702,0,6.14,,,-12.13576288,-77.02081877
34.902,0,6.14,122.72368001448922,34.47865608334541,-12.13576288,-77.0208188
35.102,0,6.14,,,-12.13576288,-77.0208188
35.303,0,6.14,,,-12.13576288,-77.0208188
35.503,0,6.14,,,-12.13576288,-77.0208188
35.704,0,6.14,,,-12.13576288,-77.0208188
35.903,0,6.14,122.71838338370435,34.477435287088156,-12.13576288,-77.02081885
