timestamp,ext,canid,dlc,rtr,data
1688516660083,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516660085,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516663620,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516663621,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516663715,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516663716,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688516663722,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516663723,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516663862,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516663863,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516663863,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516663864,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516663996,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516663997,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688516663998,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516663998,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516664136,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516664137,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516664138,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516664138,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516664276,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516664277,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688516664277,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516664278,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516664416,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516664417,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516664418,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516664418,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516664556,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516664557,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688516664558,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516664558,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516664696,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516664697,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516664697,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516664697,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516664836,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516664837,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688516664837,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516664838,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516664976,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516664977,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516664977,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516664978,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516665116,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516665118,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688516665118,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516665118,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516665256,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516665256,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516665257,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516665261,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516665396,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516665396,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688516665397,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516665397,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516665536,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516665538,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516665539,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516665539,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516665676,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516665681,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688516665681,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516665682,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516665816,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516665817,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516665820,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516665820,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516665956,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516665957,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688516665957,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516665957,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516666096,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516666097,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516666097,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516666103,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516666236,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516666237,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688516666237,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516666242,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516666376,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516666376,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516666380,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516666380,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516666516,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516666516,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688516666517,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516666521,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516666656,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516666656,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516666657,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516666661,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516666797,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516666797,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688516666798,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516666798,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516666936,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516666938,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516666938,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516666939,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516667076,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516667077,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688516667077,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516667077,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516667216,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516667217,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516667217,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516667221,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516667356,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516667357,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688516667357,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516667357,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516667496,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516667497,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516667497,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516667503,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516667636,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516667637,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688516667637,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516667642,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516667776,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516667776,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516667777,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516667782,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516667916,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516667917,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688516667917,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516667918,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516668056,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516668057,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516668057,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516668063,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516668196,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516668196,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688516668197,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516668201,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516668336,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516668337,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516668337,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516668337,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516668476,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516668477,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688516668480,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516668480,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516668616,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516668618,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516668618,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516668619,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516668756,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516668756,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688516668759,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516668760,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516668896,false,1,8,false,"[1,0,0,0,0,0,0,0]"

1688516668897,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516668897,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516668902,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516668994,false,1,8,false,"[10,0,0,0,0,4,0,0]"

1688516669036,false,1,8,false,"[10,0,0,0,0,4,0,0]"

1688516669036,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688516669042,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516669042,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516669120,false,1,8,false,"[10,0,0,0,0,0,0,0]"

1688516669176,false,1,8,false,"[10,0,0,0,0,0,0,0]"

1688516669176,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516669179,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516669180,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516669316,false,1,8,false,"[10,0,0,0,0,0,0,0]"

1688516669316,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688516669319,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516669320,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516669414,false,1,8,false,"[10,0,0,0,0,16,0,0]"

1688516669456,false,1,8,false,"[10,0,0,0,0,16,0,0]"

1688516669456,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516669459,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516669459,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516669540,false,1,8,false,"[10,0,0,0,0,0,0,0]"

1688516669596,false,1,8,false,"[10,0,0,0,0,0,0,0]"

1688516669598,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688516669598,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516669598,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516669736,false,1,8,false,"[10,0,0,0,0,0,0,0]"

1688516669736,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516669739,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516669740,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516669750,false,1,8,false,"[96,234,0,0,0,4,0,0]"

1688516669876,false,1,8,false,"[96,234,0,0,0,4,0,0]"

1688516669877,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688516669880,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516669880,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516669918,false,1,8,false,"[96,234,0,0,0,0,0,0]"

1688516670016,false,1,8,false,"[96,234,0,0,0,0,0,0]"

1688516670016,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516670019,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516670019,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516670156,false,1,8,false,"[96,234,0,0,0,0,0,0]"

1688516670156,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688516670159,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516670159,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516670296,false,1,8,false,"[96,234,0,0,0,0,0,0]"

1688516670296,false,2,8,false,"[0,0,0,0,0,0,0,1]"

1688516670299,false,10,8,false,"[0,0,0,0,0,0,0,0]"

1688516670299,false,11,8,false,"[0,0,0,0,0,0,0,0]"

1688516670436,false,1,8,false,"[96,234,0,0,0,0,0,0]"

1688516670436,false,2,8,false,"[128,0,0,0,0,0,0,1]"

1688516670439,false,10,8,false,"[0,0,0,0,0,0,0,0]"

